namn,init,kon,yrke,tid,ort,rader,antal,kon2,arh
Edith Södergran,ES,kvinna,poet,1900-tal,Sankt Petersburg,100936,1,2,19
Zacharias Topelius,ZT,man,barnboksförfattare,1800-tal,Kuddnäs,61953,1,1,18
Jörn Donner,JD,man,filmkritiker,1900-tal,Helsingfors,35122,1,1,19
Carl Rudenschöld,CR,man,diplomat,1700-tal,Åbo,34084,1,1,17
Tove Jansson,TJ,kvinna,barnboksförfattare,1900-tal,Helsingfors,33261,1,2,19
Jean Sibelius,JS,man,musikvetare,1800-tal,Tavastehus,31360,1,1,18
Joel Pettersson,JP,man,målare,1900-tal,Lemland,28571,1,1,19
Gustaf Henrik Mellin,GHM,man,poet,1800-tal,Revolax,26215,1,1,18
Gustaf Mauritz Armfelt,GMA,man,diplomat,1700-tal,Marttila,24812,1,1,17
Mauritz Stiller,MS,man,regissör,1900-tal,Helsingfors,24748,1,1,19
Gustaf Mannerheim,GM,man,upptäcktsresande,1800-tal,Borgå,24037,1,1,18
Adolf Erik Nordenskiöld,AEN,man,polarforskare,1800-tal,Helsingfors,21779,1,1,18
Lill Lindfors,LL,kvinna,sångare,1900-tal,Helsingfors,21740,1,2,19
Göran Magnus Sprengtporten,GMS,man,politiker,1700-tal,Borgå,20352,1,1,17
Johan Ludvig Runeberg,JLR,man,psalmförfattare,1800-tal,Jakobstad,18389,1,1,18
Pehr Kalm,PK,man,upptäcktsresande,1700-tal,Själevads församling,17481,1,1,17
Arvid Horn,AH,man,diplomat,1600-tal,Halikko,17106,1,1,16
Stina Ekblad,SE,kvinna,skådespelare,1900-tal,Solf,16895,1,2,19
Edith Erastoff,EE,kvinna,skådespelare,1900-tal,Helsingfors,16172,1,2,19
Frans Michael Franzén,FMF,man,psalmförfattare,1800-tal,Uleåborg,15959,1,1,18
Alma Söderhjelm,AS,kvinna,författare,1900-tal,Viborg,15810,1,2,19
Knut Lindberg,KL,man,brottare,1900-tal,Ingå,15537,1,1,19
Gustaf Adolf Reuterholm,GAR,man,politiker,1700-tal,Sjundeå,15443,1,1,17
Kotti Chave,KC,man,skådespelare,1900-tal,Helsingfors,15306,1,1,19
Märta Tikkanen,MT,kvinna,filosof,1900-tal,Helsingfors,15046,1,2,19
Elin Danielson-Gambogi,ED,kvinna,målare,1800-tal,Norrmark,14839,1,2,18
Henry Parland,HP,man,författare,1900-tal,Viborg,14538,1,1,19
Gustaf Estlander,GE,man,skridskoåkare,1900-tal,Helsingfors,14355,1,1,19
Hagar Olsson,HO,kvinna,litteraturkritiker,1900-tal,Gustavs,13569,1,2,19
Fredrik Cygnæus,FC,man,litteraturkritiker,1800-tal,Tavastehus,13498,1,1,18
Hilma Granqvist,HG,kvinna,antropolog,1900-tal,Sibbo,13456,1,2,19
Nasty Suicide,NS,man,gitarrist,1900-tal,Sibbo,13256,1,1,19
Bernhard Crusell,BC,man,självbiograf,1800-tal,Nystad,13126,1,1,18
Birgit Sergelius,BS,kvinna,skådespelare,1900-tal,Helsingfors,13098,1,2,19
Juha Widing,JW,man,ishockeyspelare,1900-tal,Uleåborg,13032,1,1,19
Sune Mangs,SM,man,TV-skådespelare,1900-tal,Kaskö,12921,1,1,19
Ernst Linder,EL,man,dressyrryttare,1800-tal,Pojo,12908,1,1,18
Kjell Westö,KW,man,journalist,1900-tal,Helsingfors,12896,1,1,19
Lars Huldén,LH,man,lingvist,1900-tal,Jakobstad,12870,1,1,19
Tomas Sandström,TS,man,ishockeyspelare,1900-tal,Jakobstad,12740,1,1,19
Göran Hägglund,GH,man,politiker,1900-tal,Degerfors,12672,1,1,19
Leo Komarov,LK,man,ishockeyspelare,2000-tal,Narva,12580,1,1,20
Karl August Tavaststjerna,KAT,man,poet,1800-tal,S:t Michel,12445,1,1,18
Tua Forsström,TF,kvinna,poet,1900-tal,Borgå,12442,1,2,19
Rafael Hertzberg,RH,man,sångtextförfattare,1800-tal,Åbo,12281,1,1,18
Werner Söderhjelm,WS,man,romanist,1800-tal,Viborg,12259,1,1,18
Jarl Hemmer,JH,man,översättare,1900-tal,Vasa,11994,1,1,19
Anders Chydenius,AC,man,filosof,1700-tal,Sotkamo,11977,1,1,17
Daniel Sjölund,DS,man,fotbollsspelare,2000-tal,Finström,11839,1,1,20
Abraham Niclas Edelcrantz,ANE,man,översättare,1700-tal,Åbo,11580,1,1,17
Elmer Diktonius,ED,man,författare,1900-tal,Helsingfors,11556,1,1,19
Willy Kyrklund,WK,man,dramatiker,1900-tal,Helsingfors,11553,1,1,19
Fredrika Runeberg,FR,kvinna,journalist,1800-tal,Jakobstad,11394,1,2,18
Emil Zilliacus,EZ,man,författare,1900-tal,Tammerfors,11130,1,1,19
Carl David Skogman,CDS,man,översättare,1800-tal,Lovisa,11057,1,1,18
Oskar Silén,OS,man,skådespelare,2000-tal,Helsingfors,10978,1,1,20
Leif Rantala,LR,man,lingvist,1900-tal,Liljendal,10754,1,1,19
Harry Järv,HJ,man,filosof,1900-tal,Karperö,10655,1,1,19
Mark Levengood,ML,man,journalist,1900-tal,Marine Corps Base Camp Lejeune,10504,1,1,19
Bo Carpelan,BC,man,barnboksförfattare,1900-tal,Helsingfors,10478,1,1,19
Helena Westermarck,HW,kvinna,målare,1800-tal,Helsingfors,10336,1,2,18
John Vikström,JV,man,präst,1900-tal,Kronoby,10229,1,1,19
Jac Ahrenberg,JA,man,konstkritiker,1800-tal,Viborg,10214,1,1,18
Gunnar Björling,GB,man,dramatiker,1900-tal,Helsingfors,10103,1,1,19
Linus Torvalds,LT,man,programmerare,1900-tal,Helsingfors,10097,1,1,19
Irmelin Sandman Lilius,ISL,kvinna,barnboksförfattare,1900-tal,Helsingfors,10077,1,2,19
Lars Sonck,LS,man,stadsplanerare,1900-tal,Kelviå,9902,1,1,19
Victor Westerholm,VW,man,målare,1800-tal,Åbo,9804,1,1,18
Jacob Frese,JF,man,kanslist,1700-tal,Viborg,9754,1,1,17
Alexandra Gripenberg,AG,kvinna,offentlig person,1800-tal,Kronoborg,9737,1,2,18
Adolf Fredrik Munck,AFM,man,aristokrat,1700-tal,Rantasalmi,9631,1,1,17
Robert Tigerstedt,RT,man,fysiolog,1800-tal,Helsingfors,9546,1,1,18
Sean Bergenheim,SB,man,ishockeyspelare,2000-tal,Helsingfors,9541,1,1,20
Helene Schjerfbeck,HS,kvinna,målare,1800-tal,Helsingfors,9499,1,2,18
Sickan Castegren,SC,kvinna,sångare,1900-tal,Helsingfors,9468,1,2,19
Guss Mattsson,GM,man,journalist,1900-tal,Bremerhaven,9436,1,1,19
Linda Lampenius,LL,kvinna,fotomodell,2000-tal,Helsingfors,9416,1,2,20
Vivica Bandler,VB,kvinna,teaterregissör,1900-tal,Helsingfors,9314,1,2,19
Bertel Gripenberg,BG,man,översättare,1900-tal,Sankt Petersburg,9190,1,1,19
Arvid Mörne,AM,man,översättare,1900-tal,Kuopio,9175,1,1,19
Johan Vilhelm Snellman,JVS,man,filosof,1800-tal,Stockholm,9168,1,1,18
Birger Carlstedt,BC,man,målare,1900-tal,Helsingfors,9159,1,1,19
Odo Reuter,OR,man,entomolog,1800-tal,Åbo,9077,1,1,18
Carl Johan Adlercreutz,CJA,man,officerare,1700-tal,Kiala,9020,1,1,17
Anna Bondestam,AB,kvinna,översättare,1900-tal,Jakobstad,9013,1,2,19
Solveig von Schoultz,SvS,kvinna,poet,1900-tal,Borgå,8954,1,2,19
Volmar Lindman,VL,man,poet,1800-tal,Åbo,8892,1,1,18
Robert Helenius,RH,man,boxare,2000-tal,Stockholm,8889,1,1,20
Georg August Wallin,GAW,man,upptäcktsresande,1800-tal,Sund,8860,1,1,18
Fredrik Jensen,FJ,man,fotbollsspelare,2000-tal,Borgå,8734,1,1,20
Yrsa Stenius,YS,kvinna,journalist,1900-tal,Helsingfors,8725,1,2,19
Wilhelm von Wright,WvW,man,tecknare,1800-tal,Kuopio landskommun,8641,1,1,18
Albert Edelfelt,AE,man,målare,1800-tal,Kiala gård,8430,1,1,18
Björn Wahlroos,BW,man,bankman,1900-tal,Helsingfors,8375,1,1,19
Carl Gustaf Estlander,CGE,man,litteraturvetare,1800-tal,Kristinestad,8338,1,1,18
Ralf Parland,RP,man,författare,1900-tal,Viborg,8292,1,1,19
Sigrid Backman,SB,kvinna,skribent,1900-tal,Helsingfors,8208,1,2,19
Walentin Chorell,WC,man,författare,1900-tal,Åbo,8134,1,1,19
Carl Olof Cronstedt,COC,man,militär,1700-tal,Helsingfors,8051,1,1,17
Gustaf John Ramstedt,GJR,man,lingvist,1900-tal,Ekenäs,8029,1,1,19
Henning Söderhjelm,HS,man,översättare,1900-tal,Helsingfors,8019,1,1,19
Mikael Lybeck,ML,man,målare,1800-tal,Nykarleby,8010,1,1,18
Alexander Stubb,AS,man,diplomat,1900-tal,Helsingfors,7967,1,1,19
Hugo Gyldén,HG,man,universitetslärare,1800-tal,Helsingfors,7959,1,1,18
Adelaïde Ehrnrooth,AE,kvinna,författare,1800-tal,Nastola,7941,1,2,18
Björn Kurtén,BK,man,paleontolog,1900-tal,Vasa,7895,1,1,19
Ulla Olin-Nilson,UO,kvinna,poet,1900-tal,Tenala,7871,1,2,19
Barbara Mattsson,BM,kvinna,psykoanalytiker,1900-tal,Helsingfors,7863,1,2,19
Ingvar Dahlbacka,ID,man,präst,1900-tal,Terjärv,7725,1,1,19
Olof Enckell,OE,man,översättare,1900-tal,Kronoborg,7630,1,1,19
Annie Furuhjelm,AF,kvinna,journalist,1800-tal,Sitka,7585,1,2,18
Carl-Adam Nycop,CN,man,journalist,1900-tal,Helsingfors,7510,1,1,19
Christoffer Strandberg,CS,man,röstskådespelare,2000-tal,Sjundeå,7385,1,1,20
Karl H. Wiik,KHW,man,journalist,1900-tal,Helsingfors,7380,1,1,19
Gustaf af Wetterstedt,GaW,man,politiker,1800-tal,Vasa,7260,1,1,18
Claes Andersson,CA,man,jazzmusiker,1900-tal,Helsingfors,7206,1,1,19
Maria Sid,MS,kvinna,skådespelare,1900-tal,Finland,7182,1,2,19
Leif Segerstam,LS,man,violinist,1900-tal,Vasa,6961,1,1,19
George Gé,GG,man,koreograf,1900-tal,Sankt Petersburg,6953,1,1,19
Håkan von Eichwald,HvE,man,filmmusikkompositör,1900-tal,Åbo,6851,1,1,19
Runar Schildt,RS,man,författare,1900-tal,Helsingfors,6806,1,1,19
Gösta Ågren,GÅ,man,filmregissör,1900-tal,Nykarleby,6792,1,1,19
Kyra Kyrklund,KK,kvinna,dressyrryttare,1900-tal,Helsingfors,6791,1,2,19
Åke Lindman,ÅL,man,filmskådespelare,1900-tal,Helsingfors,6782,1,1,19
Akseli Gallen-Kallela,AG,man,gravör,1800-tal,Björneborg,6753,1,1,18
Christer Kihlman,CK,man,skribent,1900-tal,Helsingfors,6747,1,1,19
Birgitta Boucht,BB,kvinna,skribent,1900-tal,Helsingfors,6725,1,2,19
Johanna Koljonen,JK,kvinna,serieskapare,2000-tal,Helsingfors,6702,1,2,20
Adolf Ivar Arwidsson,AIA,man,journalist,1800-tal,Padasjoki,6679,1,1,18
Janne Holmén,JH,man,maratonlöpare,2000-tal,Jomala,6663,1,1,20
Olof Landström,OL,man,illustratör,1900-tal,Åbo,6629,1,1,19
Emil von Qvanten,EvQ,man,poet,1800-tal,Björneborg,6539,1,1,18
Li Andersson,LA,kvinna,politiker,2000-tal,Åbo,6521,1,2,20
Siri von Essen,SvE,kvinna,scenskådespelare,1800-tal,Jakob och Johannes församling,6508,1,2,18
Ulla-Lena Lundberg,UL,kvinna,poet,1900-tal,Kökar,6486,1,2,19
Ida Brander,IB,kvinna,skådespelare,1800-tal,Stockholm,6465,1,2,18
Linda Sällström,LS,kvinna,fotbollsspelare,2000-tal,Kyrkslätt,6435,1,2,20
Pehr Evind Svinhufvud,PES,man,politiker,1800-tal,Sääksmäki,6388,1,1,18
Birgit Kronström,BK,kvinna,sångare,1900-tal,Helsingfors,6386,1,2,19
Leo Mechelin,LM,man,bankman,1800-tal,Fredrikshamn,6381,1,1,18
Johan Jakob Nordström,JJN,man,politiker,1800-tal,Åbo,6359,1,1,18
Tito Colliander,TC,man,poet,1900-tal,Sankt Petersburg,6345,1,1,19
Per Otto Adelborg,POA,man,konstnär,1800-tal,Lovisa,6324,1,1,18
Amos Anderson,AA,man,journalist,1900-tal,Kimito kommun,6290,1,1,19
Mikael Kihlman,MK,man,målare,1900-tal,Uppsala,6264,1,1,19
Thomas Warburton,TW,man,översättare,1900-tal,Vasa,6258,1,1,19
Barbara Helsingius,BH,kvinna,fäktare,1900-tal,Helsingfors,6237,1,2,19
Kalle Hägglund,KH,man,förläggare,1900-tal,Oravais,6200,1,1,19
Kasper Hämäläinen,KH,man,fotbollsspelare,2000-tal,Åbo,6122,1,1,20
Johan Arckenholtz,JA,man,historiker,1700-tal,Helsingfors,6115,1,1,17
Peter Sandelin,PS,man,målare,1900-tal,Jakobstad,6102,1,1,19
Nils Torvalds,NT,man,journalist,1900-tal,Ekenäs,6096,1,1,19
Erik Kiviniemi,EK,man,regissör,1900-tal,Oravais,6083,1,1,19
Rabbe Enckell,RE,man,målare,1900-tal,Tammela,6070,1,1,19
Gunnar Bärlund,GB,man,boxare,1900-tal,Helsingfors,6066,1,1,19
Josef Julius Wecksell,JJW,man,dramatiker,1800-tal,Åbo,6031,1,1,18
Merete Mazzarella,MM,kvinna,universitetslärare,1900-tal,Helsingfors,5997,1,2,19
Mikael Forssell,MF,man,fotbollsspelare,2000-tal,Steinfurt,5991,1,1,20
Sandra Eriksson,SE,kvinna,medeldistanslöpare,2000-tal,Nykarleby,5984,1,2,20
Torsten Stålhandske,TS,man,officerare,1600-tal,Borgå,5945,1,1,16
Mats Löfström,ML,man,politiker,2000-tal,Eckerö,5920,1,1,20
Edvard Robert Gummerus,ERG,man,översättare,1900-tal,Helsingfors,5891,1,1,19
Joakim Groth,JG,man,romanförfattare,1900-tal,Stockholm,5882,1,1,19
Christina Andersson,CA,kvinna,barnboksförfattare,1900-tal,Åbo,5866,1,2,19
Magnus Enckell,ME,man,målare,1900-tal,Fredrikshamn,5837,1,1,19
Örnulf Tigerstedt,ÖT,man,politiker,1900-tal,Helsingfors,5816,1,1,19
Johan Fredrik Aminoff,JFA,man,politiker,1700-tal,Rilax gård,5807,1,1,17
Birgitta Ulfsson,BU,kvinna,skådespelare,1900-tal,Helsingfors,5771,1,2,19
Rasmus Schüller,RS,man,fotbollsspelare,2000-tal,Esbo,5750,1,1,20
Aurora Karamzin,AK,kvinna,hovdam,1800-tal,Björneborg,5649,1,2,18
Maria Turtschaninoff,MT,kvinna,skribent,2000-tal,Helsingfors,5615,1,2,20
Valdemar Nyman,VN,man,präst,1900-tal,Vasa,5602,1,1,19
Robin Wikman,RW,man,fotbollsspelare,2000-tal,Helsingfors,5570,1,1,20
Ferdinand von Wright,FvW,man,tecknare,1800-tal,Kuopio,5554,1,1,18
Fredrik Lång,FL,man,skribent,1900-tal,Närpes,5548,1,1,19
Carl-Gustav Groth,CG,man,forskare,1900-tal,Helsingfors,5481,1,1,19
André Wickström,AW,man,TV-skådespelare,2000-tal,Sibbo,5465,1,1,20
Bengt Ahlfors,BA,man,regissör,1900-tal,Helsingfors,5460,1,1,19
Peter Snickars,PS,man,filmregissör,1900-tal,Vasa,5460,1,1,19
Hugo Simberg,HS,man,skulptör,1900-tal,Fredrikshamn,5443,1,1,19
Anni Blomqvist,AB,kvinna,romanförfattare,1900-tal,Vårdö,5402,1,2,19
Isac Elliot,IE,man,singer-songwriter,2000-tal,Grankulla,5402,1,1,20
Åke Henriksson Tott,ÅHT,man,politiker,1600-tal,Nyland,5370,1,1,16
Fredrik Gabriel Hedberg,FGH,man,psalmförfattare,1800-tal,Salois,5353,1,1,18
Josefina Bengts,JB,kvinna,skribent,1900-tal,Pernå,5320,1,2,19
Carl Haglund,CH,man,politiker,2000-tal,Esbo,5315,1,1,20
Karl Langenskiöld,KL,man,bankman,1800-tal,Pau,5311,1,1,18
Stefan Wallin,SW,man,politiker,1900-tal,Vasa,5304,1,1,19
Oscar Parland,OP,man,författare,1900-tal,Kiev,5303,1,1,19
Lorenz von Numers,LvN,man,översättare,1900-tal,Åbo,5302,1,1,19
Monika Fagerholm,MF,kvinna,skribent,1900-tal,Helsingfors,5297,1,2,19
Odal Ottelin,OO,man,filolog,1800-tal,Karleby,5269,1,1,18
Hanna Rönnberg,HR,kvinna,målare,1800-tal,Tavastehus,5263,1,2,18
Eva-Stina Byggmästar,EB,kvinna,poet,1900-tal,Jakobstad,5261,1,2,19
Selim Lemström,SL,man,fysiker,1800-tal,Ingå,5224,1,1,18
Yrjö Sakari Yrjö-Koskinen,YSY,man,historiker,1800-tal,Vasa,5204,1,1,18
Ralf Långbacka,RL,man,filmregissör,1900-tal,Närpes,5151,1,1,19
Ragnar Granit,RG,man,neurobiolog,1900-tal,Riihimäki,5142,1,1,19
Pernilla Karlsson,PK,kvinna,sångare,2000-tal,Sjundeå,5140,1,2,20
Ina Lange,IL,kvinna,pianist,1800-tal,Helsingfors,5139,1,2,18
Stina Rautelin,SR,kvinna,regissör,1900-tal,Helsingfors,5133,1,2,19
Magnus von Wright,MvW,man,tecknare,1800-tal,Kuopio,5101,1,1,18
Marianne Backlén,MB,kvinna,skribent,1900-tal,Helsingfors,5100,1,2,19
Moira von Wright,MvW,kvinna,rektor,1900-tal,Helsingfors,5072,1,2,19
Henrik Cederlöf,HC,man,litteraturhistoriker,1900-tal,Helsingfors,5057,1,1,19
Helmi Sjöstrand,HS,kvinna,målare,1800-tal,Helsingfors,5047,1,2,18
Constance Hultin,CH,kvinna,skribent,1800-tal,Hammarland,5009,1,2,18
Georg Henrik von Wright,GHvW,man,filosof,1900-tal,Helsingfors,5001,1,1,19
Axel Olof Freudenthal,AOF,man,filolog,1800-tal,Sjundeå,4966,1,1,18
Kjell Carlström,KC,man,tävlingscyklist,2000-tal,Borgå,4965,1,1,20
Jacob Tegengren,JT,man,arkeolog,1900-tal,Vasa,4953,1,1,19
Clas Thunberg,CT,man,skridskoåkare,1900-tal,Helsingfors,4941,1,1,19
Theodor Nordström,TN,man,geolog,1800-tal,Helsingfors,4938,1,1,18
Johannes,J,man,präst,1900-tal,Åbo,4930,1,1,19
Jacob Tengström,JT,man,historiker,1700-tal,Karleby,4923,1,1,17
Alexander Järnefelt,AJ,man,kartograf,1800-tal,Tohmajärvi,4918,1,1,18
Harriet Clayhills,HC,kvinna,journalist,1900-tal,Åbo,4911,1,2,19
Håkan Tollet,HT,man,journalist,1900-tal,Viborg,4898,1,1,19
Ralf Andtbacka,RA,man,litteraturkritiker,1900-tal,Kronoby,4893,1,1,19
Johan Fredrik Carpelan,JFC,man,militär,1700-tal,Halikko,4887,1,1,17
Sebastian Lybeck,SL,man,översättare,1900-tal,Helsingfors,4874,1,1,19
Veronica Leo,VL,kvinna,illustratör,1900-tal,Helsingfors,4855,1,2,19
Conny Karlsson,CK,man,friidrottare,2000-tal,Dragsfjärd,4810,1,1,20
John William Nylander,JWN,man,vapensmugglare,1800-tal,Ekenäs,4797,1,1,18
E.N. Tigerstedt,ET,man,docent,1900-tal,Warszawa,4754,1,1,19
Johan Otto Söderhjelm,JOS,man,politiker,1900-tal,Helsingfors,4749,1,1,19
Gunnar Henriksson,GH,man,journalist,1900-tal,Helsingfors,4726,1,1,19
Jani Lyyski,JL,man,fotbollsspelare,2000-tal,Mariehamn,4714,1,1,20
Sara Wacklin,SW,kvinna,lärare,1800-tal,Uleåborg,4709,1,2,18
Jacob Söderman,JS,man,politiker,1900-tal,Helsingfors,4703,1,1,19
Henrika Andersson,HA,kvinna,skribent,1900-tal,Ekenäs,4694,1,2,19
Mårten Westö,MW,man,journalist,1900-tal,Helsingfors,4647,1,1,19
Rut Forsblom,RF,kvinna,skribent,1900-tal,Lunds Allhelgonaförsamling,4580,1,2,19
Otto Andersson,OA,man,musiketnolog,1900-tal,Vårdö,4575,1,1,19
Johan Gadolin,JG,man,mineralog,1700-tal,Åbo,4531,1,1,17
Eva Biaudet,EB,kvinna,politiker,1900-tal,Helsingfors,4511,1,2,19
Paradise Oskar,PO,man,singer-songwriter,2000-tal,Kyrkslätt,4510,1,1,20
Erik Allardt,EA,man,sociolog,1900-tal,Helsingfors,4503,1,1,19
Eric Tigerstedt,ET,man,uppfinnare,1900-tal,Helsingfors,4500,1,1,19
Sally Salminen,SS,kvinna,skribent,1900-tal,Vårdö,4458,1,2,19
Aleko Lilius,AL,man,journalist,1900-tal,Helsingfors,4458,1,1,19
Jessica Grabowsky,JG,kvinna,filmskådespelare,2000-tal,Siilinjärvi,4457,1,2,20
Bjarne Kallis,BK,man,politiker,1900-tal,Karleby,4453,1,1,19
Markus Halsti,MH,man,fotbollsspelare,2000-tal,Helsingfors,4445,1,1,20
Agneta Enckell,AE,kvinna,poet,1900-tal,Helsingfors,4444,1,2,19
Redrama,R,man,rappare,2000-tal,Helsingfors,4438,1,1,20
Iiris Viljanen,IV,kvinna,pianist,2000-tal,Korsholm,4416,1,2,20
Otto Donner,OD,man,lingvist,1800-tal,Karleby,4382,1,1,18
Fredrik Norrena,FN,man,ishockeyspelare,2000-tal,Jakobstad,4364,1,1,20
Selma Riégo,SR,kvinna,skådespelare,1800-tal,Tammerfors,4360,1,2,18
Susanne Ringell,SR,kvinna,poet,1900-tal,Helsingfors,4353,1,2,19
Carl Gustaf Mannerheim,CGM,man,entomolog,1800-tal,Villnäs,4352,1,1,18
Benedict Zilliacus,BZ,man,översättare,1900-tal,Helsingfors,4342,1,1,19
Janina Orlov,JO,kvinna,översättare,1900-tal,Finland,4336,1,2,19
Henrik Klingenberg,HK,man,keyboardspelare,2000-tal,Mariehamn,4334,1,1,20
Gustaf Erikson,GE,man,redare,1900-tal,Lemland,4315,1,1,19
Kent Sjöman,KS,man,TV-skådespelare,1900-tal,Linköping,4309,1,1,19
Lars Stenbäck,LS,man,sångtextförfattare,1800-tal,Kuortane,4302,1,1,18
Eugen Malmstén,EM,man,sångare,1900-tal,Helsingfors,4301,1,1,19
Bosse Österberg,BÖ,man,sångare,1900-tal,Helsingfors,4261,1,1,19
Wilhelm Ramsay,WR,man,geolog,1800-tal,Dragsfjärd,4249,1,1,18
Inga-Britt Wik,IW,kvinna,poet,1900-tal,Vasa,4237,1,2,19
Stefan Ingves,SI,man,bankman,1900-tal,Åbo,4215,1,1,19
Walter Runeberg,WR,man,skulptör,1800-tal,Borgå,4212,1,1,18
Georg Malmstén,GM,man,sångare,1900-tal,Helsingfors,4205,1,1,19
Erik Alexander Ingman,EAI,man,gynekolog,1800-tal,Lochteå,4170,1,1,18
Marcus Grönholm,MG,man,rallyförare,1900-tal,Grankulla,4159,1,1,19
Viveka Eriksson,VE,kvinna,politiker,1900-tal,Föglö,4148,1,2,19
Oscar Nikula,ON,man,historiker,1900-tal,Vasa,4127,1,1,19
Carl Fredrik Meinander,CFM,man,antropolog,1900-tal,Helsingfors,4116,1,1,19
Johan Wilhelm Runeberg,JWR,man,universitetslärare,1800-tal,Borgå,4101,1,1,18
Konrad Tallroth,KT,man,filmregissör,1900-tal,Nurmo,4099,1,1,19
Lars Gabriel von Haartman,LGvH,man,politiker,1800-tal,Åbo,4097,1,1,18
Toni Söderholm,TS,man,ishockeyspelare,2000-tal,Grankulla,4079,1,1,20
Leif Wager,LW,man,filmskådespelare,1900-tal,Helsingfors,4074,1,1,19
Anna-Lena Laurén,AL,kvinna,journalist,2000-tal,Pargas stad,4072,1,2,20
Mats Lillhannus,ML,man,sångare,2000-tal,Korsholm,4061,1,1,20
Marguerite Walfridson,MW,kvinna,tecknare,1900-tal,Borgå,4043,1,2,19
Bengt Holmqvist,BH,man,journalist,1900-tal,Åbo,4032,1,1,19
Viktor Magnus von Born,VMvB,man,politiker,1800-tal,Helsingfors,4026,1,1,18
Karl Fazer,KF,man,sportskytt,1800-tal,Helsingfors,4016,1,1,18
Fredric von Rettig,FvR,man,fabrikör,1800-tal,Gävle Heliga Trefaldighets församling,4004,1,1,18
Hugo Ekhammar,HE,man,skribent,1900-tal,Helsingfors,3977,1,1,19
Tim Sparv,TS,man,fotbollsspelare,2000-tal,Oravais,3968,1,1,20
Lasse Mårtenson,LM,man,pianist,1900-tal,Helsingfors,3955,1,1,19
Eric Anthoni,EA,man,genealog,1900-tal,Helsingfors,3951,1,1,19
Signe Brander,SB,kvinna,fotograf,1800-tal,Parkano,3945,1,2,18
Christian Sibelius,CS,man,cellist,1800-tal,Tavastehus,3940,1,1,18
Marita Lindquist,ML,kvinna,barnboksförfattare,1900-tal,Helsingfors,3936,1,2,19
Arvid Adolf Etholén,AAE,man,upptäcktsresande,1800-tal,Helsingfors,3922,1,1,18
Lennart Hohenthal,LH,man,aktivist,1900-tal,Kurikka,3910,1,1,19
Fredrik Nordback,FN,man,fotbollsspelare,2000-tal,Hangö,3906,1,1,20
Kaj Korkea-aho,KK,man,journalist,2000-tal,Esse,3898,1,1,20
